City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
271,Matagami,CA,32.0,49.75,-77.63,Hôtel Matagami
272,Carndonagh,IE,45.03,55.25,-7.27,Tigín Tuí
273,Le Port,RE,64.4,-20.94,55.29,Villa Maido
274,Yarke Pole,UA,50.45,45.61,34.32,
275,Salalah,OM,75.2,17.02,54.09,HAMDAN PLAZA HOTEL
276,Kaitangata,NZ,53.01,-46.28,169.85,Kaitangata Motor Camp
277,Sorong,ID,81.57,-0.88,131.25,The Waigo Hotel
278,Carutapera,BR,78.82,-1.2,-46.02,Lidera
279,San-Pedro,CI,77.05,4.75,-6.64,Hotel Maria
280,Poitiers,FR,63.0,46.58,0.33,ibis Poitiers Centre
281,Cervo,ES,69.01,43.67,-7.41,Hotel Spa Galatea
282,Morwa,IN,69.64,22.9,73.83,Morva
283,Fuxin,CN,36.01,42.02,121.66,Xinya International Hotel
284,Crotone,IT,63.59,39.09,17.12,Helios Hotel
285,Dingle,PH,78.44,11.0,122.67,Camp Pasica
286,Padang,ID,77.63,-0.95,100.35,Mercure Padang
287,Fare,PF,80.83,-16.7,-151.02,Maitai Lapita Village Huahine
288,Codrington,AU,64.92,-38.27,141.97,Codrington Gardens Bed And Breakfast
289,Kaman,IN,65.73,27.65,77.27,Khandelwal Dharmashala
290,Akhalgori,GE,55.4,42.13,44.48,
291,San Policarpo,PH,78.13,12.18,125.51,Zal-Ann Beach Resort
292,Nouakchott,MR,77.0,18.09,-15.98,Hôtel Iman
293,Tabou,CI,77.67,4.42,-7.35,hotêl doufoulougou
294,Tiznit,MA,70.16,29.58,-9.5,
295,Madisonville,US,51.8,37.33,-87.5,Days Inn by Wyndham Madisonville
296,Gat,IL,73.99,31.61,34.76,OlusHome
297,Grand Gaube,MU,68.0,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
298,Vila Franca Do Campo,PT,62.6,37.72,-25.43,Pestana Bahia Praia
299,Los Llanos De Aridane,ES,75.2,28.66,-17.92,Valle Aridane
300,Praia Da Vitoria,PT,64.0,38.73,-27.07,Hotel Branco I
301,Laguna,US,81.0,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
302,La Maddalena,IT,55.4,41.21,9.41,Camping Acapulco
303,Balkanabat,TM,68.67,39.51,54.37,Nebitchi Hotel
304,Hofn,IS,36.75,64.25,-15.21,Hótel Höfn
305,Altay,CN,29.25,47.87,88.12,Jinqiao Hotel
306,Pevek,RU,15.24,69.7,170.31,Severnoye Zoloto
307,Kapoeta,SS,78.08,4.77,33.59,Eastgate Hotel
308,Atambua,ID,81.28,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
309,Ambulu,ID,76.78,-8.35,113.61,Hotel Ambulu Jember
310,Coruripe,BR,78.39,-10.13,-36.18,Pousada e Hotel Litoral Sul
311,Lorengau,PG,86.07,-2.02,147.27,Lorengau Harbourside Hotel
312,Tutoia,BR,80.74,-2.76,-42.27,Pousada Guará's
313,Kenai,US,26.01,60.55,-151.26,Aspen Extended Stay Suites
314,Bilma,NE,70.45,18.69,12.92,Expeditions Ténére voyages
315,Mandapam,IN,81.54,9.28,79.12,Tanvi Chachaa Chalet
316,Leeuwarden,NL,63.0,53.2,5.81,Bastion Hotel Leeuwarden
317,Broken Hill,AU,71.6,-31.95,141.43,Daydream Motel & Cottages
318,Lamu,KE,78.8,-2.27,40.9,Lamu House
319,Mayumba,GA,76.89,-3.43,10.66,LIKWALE LODGE
320,Hot Springs,US,68.0,34.5,-93.06,Embassy Suites by Hilton Hot Springs Hotel & Spa
321,Guane,CU,78.22,22.2,-84.09,base de Campismo LosPortales de Guane
322,Pacific Grove,US,82.99,36.62,-121.92,Lovers Point Inn
323,Stabat,ID,72.86,3.76,98.45,Toko Abi
324,Luba,GQ,78.8,3.46,8.55,
325,Guerrero Negro,MX,78.76,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
326,Merauke,ID,83.25,-8.47,140.33,
327,Awbari,LY,60.04,26.59,12.78,فندق أوباري
328,Raton,US,66.2,36.9,-104.44,Holiday Inn Express & Suites Raton
329,Isiolo,KE,68.58,0.35,37.58,Gaddisa Hotel
330,Ostrovnoy,RU,38.35,68.05,39.51,
331,Maceio,BR,77.0,-9.67,-35.74,Mercure Maceio Pajucara Hotel
332,Liverpool,GB,62.01,53.41,-2.98,Premier Inn Liverpool City Centre (Moorfields) hotel
333,Cravo Norte,CO,76.95,6.3,-70.2,Hotel El Puerto
334,Dong Hoi,VN,74.19,17.48,106.6,Nam Long Hotel
335,Chazuta,PE,86.0,-6.57,-76.14,Fundo El Porvenir
336,Kamenka,RU,41.27,51.32,42.77,
337,Paita,PE,63.72,-5.09,-81.11,Hotel Náutico de Paita
338,Shahrud,IR,53.02,36.42,54.98,Royal Hotel
339,Vestmannaeyjar,IS,39.27,63.44,-20.27,Glamping & Camping
340,Martapura,ID,75.07,-3.42,114.85,Montana Hotel Syariah
341,Richmond,US,57.99,37.55,-77.46,Holiday Inn Express Richmond - Downtown
